Rank,NCT Number,Title,Conditions,Interventions,Sponsor/Collaborators,Phases,Enrollment,Funded Bys,Start Date,Primary Completion Date,Completion Date
1,NCT05861687,Recurrence Rate Comparison Between Esomeprazole and Lansoprazole in Eradicating Helicobacter Pylori Infection Among Children,Helicobacter Pylori Infection,Drug: Esomeprazole|Drug: Lansoprazole|Drug: Amoxicillin|Drug: Clarithromycin,Finni Kollins|Universitas Sumatera Utara,Phase 2|Phase 3,51,Other,"August 1, 2021","December 7, 2021","May 20, 2022"
2,NCT05851027,Evaluating the Efficacy and Safety of QL0911 in Chemotherapy- Induced Thrombocytopenia,Chemotherapy-induced Thrombocytopenia,Drug: QL0911,"Qilu Pharmaceutical Co., Ltd.",Phase 2|Phase 3,50,Industry,"January 15, 2021","September 10, 2021","September 10, 2021"
3,NCT05850832,Efficacy of Esmolol Versus Magnesium Sulphate on Quality of Recovery in Patients Undergoing Laparoscopic Cholecystectomy: Randomized Controlled Study,Esmolol Adverse Reaction,Drug: Esmolol|Drug: Magnesium sulfate,Alexandria University,Phase 2|Phase 3,60,Other,"October 5, 2022","January 5, 2023","April 10, 2023"
4,NCT05846906,Effect of Oral Sildenafil Citrate on Improvement of Endometrial Thickness,"Infertility, Female",Drug: Sildenafil Citrate|Drug: Clomiphene Citrate 50mg,Beni-Suef University,Phase 2|Phase 3,130,Other,"October 1, 2021","April 30, 2022","April 30, 2022"
5,NCT05846243,"Study on Immunogenicity, Reactogenicity and Safety of the VACΔ6 Vaccine in Volunteers Aged 18-60 Years",Smallpox|Monkeypox|Cowpox|Vaccinia Virus Infection,"Biological: VAC∆6 vaccine (10⁷ PFU)|Biological: VAC∆6 vaccine (10⁶ PFU)|Biological: Live Smallpox Vaccine|Other: Placebo (Sodium chloride bufus, 0.9%)","Federal Budgetary Research Institution State Research Center of Virology and Biotechnology ""Vector""",Phase 2|Phase 3,334,Other,"October 1, 2021","December 31, 2021","April 1, 2022"
6,NCT05839964,"A Double-Blind, Randomized, Placebo-Controlled Study of the Safety and Effects of CBN With and Without CBD on Sleep Quality",Healthy Adults,Dietary Supplement: CBN and CBD,Canopy Growth Corporation,Phase 1|Phase 2,301,Industry,"May 16, 2022","December 6, 2022","December 6, 2022"
7,NCT05830695,Evaluation of Apexogenesis With Human Treated Dentin Matrix in Young Permanent Molars,Dentin Bridge,Drug: human treated dentin matrix|Drug: Mineral Trioxide Aggregate,nora mostafa mohammed abo shanady|Tanta University,Phase 1|Phase 2,20,Other,"January 18, 2022","July 18, 2022","March 31, 2023"
8,NCT05827757,Evaluating the Safety and Efficacy of Autologous Adipose Tissue-derived Mesenchymal Stem Cell Transplantation on Proinflammatory Cytokines and Anti-inflammatory Cytokines on Ageing-related Low-grade Inflammation Patients.,Aging Problems|Aging|Chronic Inflammation,Biological: autologous adipose-derived mesenchymal stem cell transplantation,DNA International Hospital|University of Science Ho Chi Minh City,Phase 1|Phase 2,48,Other,"October 13, 2020","April 1, 2022","April 30, 2022"
9,NCT05819970,Allium Sativum Oil and Turmeric Gel as Alternative Non-vital Pulpotomy Medicaments in Primary Teeth.,Non Vital Teeth,Drug: Allium Sativum Oil|Drug: Turmeric Gel,University of Health Sciences Lahore|Lahore General Hospital,Phase 1|Phase 2,40,Other,"October 20, 2022","February 23, 2023","March 2, 2023"
10,NCT05813158,Comparing the Perioperative Analgesic Effect of Two Different Volumes of Local Anesthetic Solution in Erector Spinae Plane Block in Patients Undergoing Modified Radical Mastectomy,Comparing of 2 Different Volumes in ESPB in Patients Undergoing MRM,Drug: Group 1(low concentration-high volume bupivacaine US guided Erector Spinae Plane block)|Drug: Group 2(high concentration-low volumecbupivacaine US guided Erector Spinae Plane block),Cairo University|Yasmina sayed Abdrabo Ismael|Norhan Abdelaleem Ali|Ahmed Shaker Ragab,Phase 2|Phase 3,52,Other,"September 9, 2022","December 16, 2022","December 23, 2022"
